year,max_laden_wt,type,number
2006,16001-20000kg,Lorries,8
2006,16001-20000kg,Tippers,1
2006,16001-20000kg,Vans,0
2006,16001-20000kg,Goods-cum Passengers,0
2006,16001-20000kg,Articulated Vehicles,0
2006,16001-20000kg,Cement Mixers,0
2006,16001-20000kg,Tankers,2
2006,16001-20000kg,Cranes,0
2006,16001-20000kg,Recovery Vehicles,0
2006,16001-20000kg,Refrigerated Vehicles,1
2006,16001-20000kg,Others,11
2006,20001-26000kg,Lorries,1362
2006,20001-26000kg,Tippers,578
2006,20001-26000kg,Vans,3
2006,20001-26000kg,Goods-cum Passengers,0
2006,20001-26000kg,Articulated Vehicles,1
2006,20001-26000kg,Cement Mixers,721
2006,20001-26000kg,Tankers,300
2006,20001-26000kg,Cranes,71
2006,20001-26000kg,Recovery Vehicles,31
2006,20001-26000kg,Refrigerated Vehicles,5
2006,20001-26000kg,Others,619
2006,26001-32000kg,Lorries,475
2006,26001-32000kg,Tippers,1569
2006,26001-32000kg,Vans,0
2006,26001-32000kg,Goods-cum Passengers,0
2006,26001-32000kg,Articulated Vehicles,1
2006,26001-32000kg,Cement Mixers,83
2006,26001-32000kg,Tankers,53
2006,26001-32000kg,Cranes,48
2006,26001-32000kg,Recovery Vehicles,2
2006,26001-32000kg,Refrigerated Vehicles,1
2006,26001-32000kg,Others,188
2006,32001-40000kg,Lorries,71
2006,32001-40000kg,Tippers,2
2006,32001-40000kg,Vans,0
2006,32001-40000kg,Goods-cum Passengers,0
2006,32001-40000kg,Articulated Vehicles,2
2006,32001-40000kg,Cement Mixers,109
2006,32001-40000kg,Tankers,9
2006,32001-40000kg,Cranes,73
2006,32001-40000kg,Recovery Vehicles,0
2006,32001-40000kg,Refrigerated Vehicles,0
2006,32001-40000kg,Others,18
2006,40001-50000kg,Lorries,0
2006,40001-50000kg,Tippers,0
2006,40001-50000kg,Vans,0
2006,40001-50000kg,Goods-cum Passengers,0
2006,40001-50000kg,Articulated Vehicles,3551
2006,40001-50000kg,Cement Mixers,0
2006,40001-50000kg,Tankers,0
2006,40001-50000kg,Cranes,138
2006,40001-50000kg,Recovery Vehicles,2
2006,40001-50000kg,Refrigerated Vehicles,0
2006,40001-50000kg,Others,0
2006,> 55000kg,Lorries,0
2006,> 55000kg,Tippers,0
2006,> 55000kg,Vans,0
2006,> 55000kg,Goods-cum Passengers,0
2006,> 55000kg,Articulated Vehicles,479
2006,> 55000kg,Cement Mixers,0
2006,> 55000kg,Tankers,0
2006,> 55000kg,Cranes,24
